Ntows,s,iter
813,1.0,150.0
814,0.0,150.0
815,4.0,150.0
816,0.0,150.0
817,2.0,150.0
818,1.0,150.0
819,2.0,150.0
820,1.0,150.0
821,2.0,150.0
822,1.0,150.0
823,5.0,150.0
824,3.0,150.0
825,2.0,150.0
826,0.0,150.0
827,1.0,150.0
828,4.0,150.0
829,0.0,150.0
830,1.0,150.0
831,0.0,150.0
832,0.0,150.0
833,2.0,150.0
834,3.0,150.0
835,2.0,150.0
836,0.0,150.0
837,2.0,150.0
838,3.0,150.0
839,2.0,150.0
840,0.0,150.0
841,1.0,150.0
842,3.0,150.0
843,1.0,150.0
844,3.0,150.0
845,1.0,150.0
846,3.0,150.0
847,3.0,150.0
848,0.0,150.0
849,0.0,150.0
850,1.0,150.0
851,2.0,150.0
852,1.0,150.0
853,1.0,150.0
854,0.0,150.0
855,2.0,150.0
856,0.0,150.0
857,6.0,150.0
858,1.0,150.0
859,0.0,150.0
860,1.0,150.0
861,4.0,150.0
862,0.0,150.0
863,2.0,150.0
864,1.0,150.0
865,0.0,150.0
866,1.0,150.0
867,0.0,150.0
868,3.0,150.0
869,0.0,150.0
870,0.0,150.0
871,3.0,150.0
872,1.0,150.0
873,0.0,150.0
874,3.0,150.0
875,1.0,150.0
876,3.0,150.0
877,2.0,150.0
878,1.0,150.0
879,0.0,150.0
880,1.0,150.0
881,2.0,150.0
882,1.0,150.0
883,1.0,150.0
884,1.0,150.0
885,0.0,150.0
886,3.0,150.0
887,1.0,150.0
888,0.0,150.0
889,1.0,150.0
890,0.0,150.0
891,1.0,150.0
892,0.0,150.0
893,1.0,150.0
894,1.0,150.0
895,2.0,150.0
896,4.0,150.0
897,3.0,150.0
898,1.0,150.0
899,0.0,150.0
900,1.0,150.0
901,3.0,150.0
902,2.0,150.0
903,4.0,150.0
904,0.0,150.0
905,0.0,150.0
906,0.0,150.0
907,1.0,150.0
908,0.0,150.0
909,0.0,150.0
910,0.0,150.0
911,4.0,150.0
912,2.0,150.0
913,2.0,150.0
914,2.0,150.0
915,2.0,150.0
916,2.0,150.0
917,0.0,150.0
918,2.0,150.0
919,0.0,150.0
920,3.0,150.0
921,3.0,150.0
922,1.0,150.0
923,0.0,150.0
924,3.0,150.0
925,1.0,150.0
926,1.0,150.0
927,2.0,150.0
928,2.0,150.0
929,1.0,150.0
930,1.0,150.0
931,0.0,150.0
932,0.0,150.0
933,1.0,150.0
934,1.0,150.0
935,2.0,150.0
936,1.0,150.0
937,1.0,150.0
938,1.0,150.0
939,2.0,150.0
940,1.0,150.0
941,2.0,150.0
942,1.0,150.0
943,3.0,150.0
944,1.0,150.0
945,2.0,150.0
946,0.0,150.0
947,3.0,150.0
948,2.0,150.0
949,2.0,150.0
950,1.0,150.0
951,1.0,150.0
952,2.0,150.0
953,3.0,150.0
954,0.0,150.0
955,1.0,150.0
956,1.0,150.0
957,5.0,150.0
958,2.0,150.0
959,1.0,150.0
960,2.0,150.0
961,2.0,150.0
962,2.0,150.0
963,4.0,150.0
964,3.0,150.0
965,0.0,150.0
966,1.0,150.0
967,1.0,150.0
968,2.0,150.0
969,2.0,150.0
970,3.0,150.0
971,2.0,150.0
972,1.0,150.0
973,1.0,150.0
974,1.0,150.0
975,1.0,150.0
